City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,grandview,US,85.66,overcast clouds,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
414,popondetta,PG,75.13,broken clouds,-8.7537,148.2534,Timos Transit House
417,suleja,NG,84.69,scattered clouds,9.1758,7.1808,Capy Motel
420,turkmenabat,TM,73.09,overcast clouds,39.0733,63.5786,"Гостиница ""Yupek Yoly"" (Шелковый путь)"
424,aquiraz,BR,81.18,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
425,kisangani,CD,74.79,broken clouds,0.5167,25.2,Grand Ramela Hotel
426,basoko,CD,74.19,light rain,1.2391,23.616,Jackyna Hotel
429,veraval,IN,83.35,few clouds,20.9,70.3667,Lords Inn Somnath
431,gamba,GA,77.31,overcast clouds,-2.65,10.0,
433,russell,US,80.96,few clouds,32.3502,-85.1999,Macs
439,chuari khas,IN,74.91,clear sky,32.4333,76.0167,PWD Rest House
440,jeremie,HT,80.38,overcast clouds,18.65,-74.1167,Auberge’Inn
441,pundaguitan,PH,81.55,light rain,6.3711,126.1689,Leonardo Family Beach House 1
443,fort morgan,US,75.85,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
445,port-gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
447,monrovia,LR,81.07,scattered clouds,6.3005,-10.7969,Sunset Inn
448,pemangkat,ID,78.84,overcast clouds,1.1667,108.9667,Ramah Kost KITA
450,bandarbeyla,SO,81.82,overcast clouds,9.4942,50.8122,JABIR HOTEL
455,kilindoni,TZ,80.1,overcast clouds,-7.9139,39.6668,Bustani B&B
456,anori,BR,80.49,light rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
458,saint anthony,US,76.66,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
460,nabire,ID,76.96,heavy intensity rain,-3.3667,135.4833,Hotel Nusantara I
464,doos,PH,78.28,overcast clouds,10.4653,124.7294,JYN'S HOTEL AND RESIDENCES
470,campos belos,BR,76.8,overcast clouds,-13.0367,-46.7717,Pousada Carnaúba
473,sao filipe,CV,74.98,clear sky,14.8961,-24.4956,Hotel Xaguate
475,fare,PF,81.0,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
477,axim,GH,81.19,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
479,panaba,MX,88.47,clear sky,21.2833,-88.2667,Hotel California
486,marshalltown,US,80.83,few clouds,42.0494,-92.908,Best Western Regency Inn
487,la libertad,EC,78.46,scattered clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
488,anajatuba,BR,77.0,moderate rain,-3.2644,-44.6197,Pousada Por do Sol
496,yurimaguas,PE,88.2,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
503,japura,ID,75.56,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
504,jonesboro,US,88.84,clear sky,35.8423,-90.7043,Hilton Garden Inn Jonesboro
505,carutapera,BR,78.39,light rain,-1.195,-46.02,Lidera
508,caravelas,BR,75.52,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
509,bima,ID,75.87,scattered clouds,-8.4667,118.7167,Lambitu Hotel
512,ndjole,GA,75.67,light rain,-0.1783,10.7649,Motel Kédyann
513,waingapu,ID,76.71,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
518,angoram,PG,73.83,broken clouds,-4.0625,144.0661,
520,moju,BR,77.85,broken clouds,-1.8839,-48.7689,HOTEL MARTINS
522,trinidad,BO,83.3,clear sky,-14.8333,-64.9,Hotel Piesta
524,cairns,AU,73.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
526,hamilton,US,85.95,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
529,hambantota,LK,79.48,light rain,6.1241,81.1185,Bungalow 63
531,poum,NC,76.78,overcast clouds,-20.2333,164.0167,
533,tshikapa,CD,77.45,overcast clouds,-6.4167,20.8,Tatem beach
534,ca mau,VN,80.4,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
540,harper,LR,81.3,broken clouds,4.375,-7.7169,Screensaver
546,barinas,VE,89.24,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
547,yenagoa,NG,77.76,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
548,lahaina,US,86.0,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
550,jaciara,BR,82.4,broken clouds,-15.9653,-54.9683,Taba Hotel
