City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Katsuura,JP,2022-05-11 19:53:29,35.1333,140.3,65.01,90,100,5.21
152,Yar-Sale,RU,2022-05-11 19:53:29,66.8333,70.8333,23.61,99,50,5.61
153,Paamiut,GL,2022-05-11 19:53:30,61.994,-49.6678,36.55,92,100,20.22
154,Ketchikan,US,2022-05-11 19:53:10,55.3422,-131.6461,46.38,96,100,4.9
155,Torbay,CA,2022-05-11 19:53:30,47.6666,-52.7314,61.57,23,20,23.02
156,San Quintin,MX,2022-05-11 19:49:58,30.4833,-115.95,64.08,54,97,24.7
157,Avera,US,2022-05-11 19:53:31,33.194,-82.5271,83.37,28,0,11.45
158,Kongolo,CD,2022-05-11 19:53:31,-5.3833,27.0,73.58,75,100,1.25
159,Meulaboh,ID,2022-05-11 19:53:32,4.1363,96.1285,77.95,83,100,3.78
160,Dzerzhinsk,RU,2022-05-11 19:53:32,56.2389,43.4631,42.62,100,100,6.71
161,Muros,ES,2022-05-11 19:53:33,42.7762,-9.0603,62.1,75,100,8.57
162,Zhuhai,CN,2022-05-11 19:51:32,22.2769,113.5678,80.38,94,40,8.05
163,Bowen,AU,2022-05-11 19:53:33,-20.0167,148.2333,73.98,89,100,9.13
164,Teahupoo,PF,2022-05-11 19:53:34,-17.8333,-149.2667,76.96,79,15,18.07
165,Hilo,US,2022-05-11 19:53:34,19.7297,-155.09,83.28,81,49,4.0
166,Saurimo,AO,2022-05-11 19:53:35,-9.6608,20.3916,73.78,51,94,4.47
167,Flin Flon,CA,2022-05-11 19:53:35,54.7682,-101.865,55.24,38,20,14.97
168,Salinas,US,2022-05-11 19:53:21,36.6777,-121.6555,69.01,59,0,10.36
169,Kosh-Agach,RU,2022-05-11 19:53:35,50.0,88.6667,38.26,28,76,5.59
170,Rio Grande,BR,2022-05-11 19:53:36,-32.035,-52.0986,68.11,74,100,14.88
171,Wanning,CN,2022-05-11 19:53:36,18.8003,110.3967,80.28,91,100,12.57
172,Hithadhoo,MV,2022-05-11 19:53:37,-0.6,73.0833,83.66,75,91,15.99
173,Iqaluit,CA,2022-05-11 19:48:57,63.7506,-68.5145,28.13,68,75,18.41
174,Bam,IR,2022-05-11 19:53:37,29.106,58.357,81.66,10,0,4.23
175,Poya,NC,2022-05-11 19:53:38,-21.35,165.15,71.19,77,100,5.93
176,Korla,CN,2022-05-11 19:53:38,41.7597,86.1469,72.34,28,69,18.72
177,Nabire,ID,2022-05-11 19:53:39,-3.3667,135.4833,75.58,91,70,2.64
178,Mahebourg,MU,2022-05-11 19:53:39,-20.4081,57.7,75.49,88,40,4.61
179,Sur,OM,2022-05-11 19:53:40,22.5667,59.5289,86.59,41,78,8.39
180,Sitka,US,2022-05-11 19:50:02,57.0531,-135.33,49.89,53,20,9.22
181,Mount Gambier,AU,2022-05-11 19:53:40,-37.8333,140.7667,53.51,94,100,0.0
182,Krasnyy Luch,UA,2022-05-11 19:53:41,48.1395,38.9371,49.87,65,100,9.86
183,Sabang,ID,2022-05-11 19:49:53,5.8933,95.3214,83.52,74,100,21.72
184,Pijijiapan,MX,2022-05-11 19:54:41,15.7011,-93.23,94.19,48,100,10.2
185,Praia Da Vitoria,PT,2022-05-11 19:50:20,38.7333,-27.0667,62.85,63,40,13.6
186,Seoul,KR,2022-05-11 19:54:42,37.5683,126.9778,58.44,80,0,4.61
187,Hobyo,SO,2022-05-11 19:51:53,5.3505,48.5268,82.99,76,54,24.18
188,Olafsvik,IS,2022-05-11 19:54:42,64.8945,-23.7142,36.9,81,100,13.42
189,Tuatapere,NZ,2022-05-11 19:54:43,-46.1333,167.6833,45.12,90,13,5.17
190,Kilindoni,TZ,2022-05-11 19:54:43,-7.9139,39.6668,81.0,71,0,16.6
191,Santa Ines,BR,2022-05-11 19:54:44,-3.6667,-45.38,78.46,93,94,3.51
192,Hualmay,PE,2022-05-11 19:54:44,-11.0964,-77.6139,69.39,74,9,10.87
193,Matara,LK,2022-05-11 19:54:44,5.9485,80.5353,79.0,89,94,13.22
194,Mapastepec,MX,2022-05-11 19:54:45,15.4333,-92.9,92.93,50,100,8.86
195,Andenes,NO,2022-05-11 19:54:45,69.3143,16.1194,42.78,93,75,5.75
196,Adrar,MR,2022-05-11 19:54:46,20.5022,-10.0711,93.38,10,25,7.4
197,Campbell River,CA,2022-05-11 19:52:08,50.0163,-125.2446,51.46,66,100,14.97
198,Kavieng,PG,2022-05-11 19:54:46,-2.5744,150.7967,82.22,78,100,11.45
199,Marsa Matruh,EG,2022-05-11 19:54:47,31.3525,27.2453,66.4,77,0,5.75
200,Kirakira,SB,2022-05-11 19:54:47,-10.4544,161.9205,80.6,82,100,2.95
201,Cherskiy,RU,2022-05-11 19:54:48,68.75,161.3,22.19,93,100,11.56
202,Olinda,BR,2022-05-11 19:54:48,-8.0089,-34.8553,82.13,69,40,6.91
203,Alice Springs,AU,2022-05-11 19:54:48,-23.7,133.8833,42.35,75,17,5.75
204,Hwange,ZW,2022-05-11 19:54:49,-18.3693,26.5019,66.52,41,0,1.59
205,Longyearbyen,SJ,2022-05-11 19:54:49,78.2186,15.6401,21.04,63,20,5.75
206,Aljezur,PT,2022-05-11 19:54:50,37.3191,-8.8033,66.18,54,100,2.17
207,Sayyan,YE,2022-05-11 19:54:50,15.1718,44.3244,67.46,26,0,7.29
208,Komsomolskiy,UZ,2022-05-11 19:54:51,40.4272,71.7189,65.12,68,96,4.61
209,Tynda,RU,2022-05-11 19:54:51,55.1667,124.7167,27.54,94,100,7.09
210,Bethel,US,2022-05-11 19:54:52,41.3712,-73.414,79.03,48,33,3.0
211,Khandyga,RU,2022-05-11 19:54:52,62.6667,135.6,19.36,97,83,3.6
212,Chuy,UY,2022-05-11 19:54:53,-33.6971,-53.4616,60.15,70,100,12.1
213,Surgut,RU,2022-05-11 19:54:53,61.25,73.4167,53.78,43,0,4.47
214,Swan Hill,AU,2022-05-11 19:54:54,-35.3378,143.5544,57.38,95,100,10.67
215,Alta,NO,2022-05-11 19:54:54,69.9689,23.2717,38.46,88,75,6.91
216,Kizukuri,JP,2022-05-11 19:54:54,40.8061,140.3861,55.11,79,100,2.15
217,Dikson,RU,2022-05-11 19:54:55,73.5069,80.5464,16.65,94,99,7.23
218,Dhidhdhoo,MV,2022-05-11 19:54:55,6.8833,73.1,83.95,74,78,15.26
219,Mocorito,MX,2022-05-11 19:54:56,25.4833,-107.9167,106.2,13,0,7.14
220,Soyo,AO,2022-05-11 19:54:56,-6.1349,12.3689,77.45,86,90,4.72
221,Maraa,BR,2022-05-11 19:54:56,-1.8333,-65.3667,80.35,90,96,4.12
222,Poronaysk,RU,2022-05-11 19:54:57,49.2167,143.1167,36.45,92,100,2.51
223,Saint George,US,2022-05-11 19:51:01,37.1041,-113.5841,73.8,13,0,17.27
224,Beyneu,KZ,2022-05-11 19:54:57,45.3167,55.2,59.86,65,100,1.3
225,Padang,ID,2022-05-11 19:54:58,-0.9492,100.3543,78.19,90,100,7.85
226,Vao,NC,2022-05-11 19:54:58,-22.6667,167.4833,73.56,61,100,27.04
227,San Juan,AR,2022-05-11 19:50:44,-31.5375,-68.5364,70.47,40,5,2.84
228,Pandan,PH,2022-05-11 19:55:59,14.0453,124.1694,78.8,82,61,7.05
229,Alta Floresta,BR,2022-05-11 19:55:59,-9.8756,-56.0861,91.22,46,40,4.61
230,Yarim,YE,2022-05-11 19:56:00,14.298,44.3779,62.15,45,3,0.67
231,Kishapu,TZ,2022-05-11 19:56:00,-3.6167,33.8667,68.18,79,46,6.38
232,Limbang,MY,2022-05-11 19:56:00,4.75,115.0,80.71,98,100,2.26
233,Kondinskoye,RU,2022-05-11 19:56:01,59.6481,67.41,48.4,64,56,7.23
234,Ugoofaaru,MV,2022-05-11 19:56:01,5.6667,73.0,84.04,75,72,17.74
235,Muyezerskiy,RU,2022-05-11 19:56:02,63.9333,31.65,46.63,89,100,13.29
236,Beloha,MG,2022-05-11 19:56:02,-25.1667,45.05,64.38,84,0,5.19
237,Vila Franca Do Campo,PT,2022-05-11 19:56:03,37.7167,-25.4333,61.21,81,100,10.87
238,Houston,US,2022-05-11 19:51:40,29.7633,-95.3633,94.41,60,75,13.8
239,Norman Wells,CA,2022-05-11 19:56:03,65.282,-126.8329,42.84,49,20,5.75
240,Ayan,RU,2022-05-11 19:56:04,56.45,138.1667,33.21,93,100,12.39
241,Conselheiro Lafaiete,BR,2022-05-11 19:56:04,-20.6603,-43.7861,67.1,69,66,4.85
242,Aklavik,CA,2022-05-11 19:56:05,68.2191,-135.0107,38.77,66,13,11.72
243,Taltal,CL,2022-05-11 19:56:05,-25.4,-70.4833,65.5,69,23,5.88
244,Ipswich,GB,2022-05-11 19:56:06,52.0592,1.1555,54.05,88,25,8.28
245,Jamkhed,IN,2022-05-11 19:56:06,18.7362,75.3121,87.53,50,100,16.46
246,Ukiah,US,2022-05-11 19:56:07,39.1502,-123.2078,65.44,51,1,3.0
247,Carinhanha,BR,2022-05-11 19:56:07,-14.3047,-43.765,86.2,24,22,1.7
248,Iracoubo,GF,2022-05-11 19:56:08,5.4802,-53.2011,79.79,83,12,10.94
249,Cayenne,GF,2022-05-11 19:53:27,4.9333,-52.3333,83.08,1,100,14.97
250,Sungairaya,ID,2022-05-11 19:56:08,0.7,108.9,80.4,81,100,1.3
251,Raahe,FI,2022-05-11 19:56:09,64.6833,24.4833,42.89,86,96,13.42
252,Masuguru,TZ,2022-05-11 19:56:09,-11.3667,38.4167,69.44,77,0,2.77
253,Auki,SB,2022-05-11 19:56:10,-8.7676,160.7034,77.76,83,100,1.66
254,Golkoy,TR,2022-05-11 19:56:10,40.6875,37.6178,42.51,96,100,1.34
255,Alamogordo,US,2022-05-11 19:56:11,32.8995,-105.9603,92.95,12,0,21.85
256,Yaan,NG,2022-05-11 19:56:11,7.3833,8.5667,81.3,70,52,5.95
257,Qui Nhon,VN,2022-05-11 19:56:11,13.7667,109.2333,79.05,86,43,6.04
258,Ngara,TZ,2022-05-11 19:56:12,-2.5122,30.6558,57.79,95,100,2.04
259,Arraial Do Cabo,BR,2022-05-11 19:56:13,-22.9661,-42.0278,76.96,73,0,9.22
260,Nantucket,US,2022-05-11 19:56:13,41.2835,-70.0995,51.94,95,100,20.98
261,Gat,IL,2022-05-11 19:56:14,31.61,34.7642,68.4,74,64,2.21
262,Belaya Gora,RU,2022-05-11 19:56:14,68.5333,146.4167,17.65,90,56,9.86
263,Leh,IN,2022-05-11 19:56:15,34.1667,77.5833,49.75,47,5,5.37
264,Taft,IR,2022-05-11 19:56:15,31.7471,54.2088,75.15,8,0,4.61
265,Ust-Kulom,RU,2022-05-11 19:56:16,61.6864,53.6902,50.49,89,100,2.08
266,Ciudad Bolivar,VE,2022-05-11 19:56:16,8.1222,-63.5497,95.9,33,78,8.72
267,Samut Sakhon,TH,2022-05-11 19:56:17,13.5833,100.3,83.05,84,96,4.52
268,Badian,PH,2022-05-11 19:56:17,9.8647,123.3964,80.15,85,16,6.55
269,Husavik,IS,2022-05-11 19:56:18,66.0449,-17.3389,33.39,91,100,9.33
270,Kapoeta,SS,2022-05-11 19:55:30,4.7717,33.5903,83.03,42,84,6.87
271,Marsabit,KE,2022-05-11 19:56:18,2.3284,37.9899,70.03,62,96,10.94
272,Sao Joao Da Barra,BR,2022-05-11 19:56:19,-21.6403,-41.0511,84.29,74,15,11.03
273,Nadym,RU,2022-05-11 19:56:19,65.5333,72.5167,35.55,100,100,5.23
274,Lorengau,PG,2022-05-11 19:57:20,-2.0226,147.2712,81.84,74,100,8.41
275,Kimbe,PG,2022-05-11 19:57:21,-5.5502,150.1429,78.67,89,80,0.6
276,Port Elizabeth,ZA,2022-05-11 19:57:22,-33.918,25.5701,61.32,80,0,8.05
277,Fortuna,US,2022-05-11 19:57:24,40.5982,-124.1573,59.86,71,100,11.5
278,Shubarshi,KZ,2022-05-11 19:57:25,48.5872,57.1869,50.77,51,58,9.35
279,Plyussa,RU,2022-05-11 19:57:25,58.4308,29.3654,50.58,93,100,4.72
280,Tomatlan,MX,2022-05-11 19:53:11,19.9333,-105.25,92.26,41,8,11.01
281,Leua,SK,2022-05-11 19:57:27,48.2156,18.6071,67.44,74,82,2.39
282,Ushtobe,KZ,2022-05-11 19:57:28,45.2514,77.9838,62.2,64,100,5.97
283,Ahipara,NZ,2022-05-11 19:57:28,-35.1667,173.1667,51.96,72,0,5.97
284,Teya,RU,2022-05-11 19:57:29,60.3778,92.6267,30.38,96,34,3.51
285,Thinadhoo,MV,2022-05-11 19:57:29,0.5333,72.9333,83.25,77,100,18.01
286,Salinopolis,BR,2022-05-11 19:57:30,-0.6136,-47.3561,80.01,85,81,8.32
287,Praia,CV,2022-05-11 19:57:30,14.9215,-23.5087,77.54,65,0,16.11
288,Galveston,US,2022-05-11 19:57:31,29.3669,-94.9669,90.09,69,20,14.97
289,Mana,GF,2022-05-11 19:57:31,5.6592,-53.7767,79.97,83,21,11.1
290,Bochil,MX,2022-05-11 19:57:31,16.9833,-92.9167,86.43,28,31,11.03
291,Sainte-Rose,GP,2022-05-11 19:57:32,16.3324,-61.6979,82.44,74,75,19.57
292,Filingue,NE,2022-05-11 19:57:32,14.3521,3.3168,97.16,16,2,8.21
293,Gracac,HR,2022-05-11 19:57:33,44.3006,15.8547,55.15,75,26,1.3
294,Kahului,US,2022-05-11 19:57:33,20.8947,-156.47,84.22,42,40,19.57
