City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,port macquarie,AU,2022-05-13 21:01:13,-31.4333,152.9167,64.89,91,55,8.99,broken clouds
156,narsaq,GL,2022-05-13 21:01:14,60.9167,-46.05,39.42,77,83,6.55,broken clouds
157,half moon bay,US,2022-05-13 21:01:14,37.4636,-122.4286,79.88,68,20,21.85,few clouds
158,kapaa,US,2022-05-13 21:01:15,22.0752,-159.319,82.38,78,49,4.0,scattered clouds
159,ostrovnoy,RU,2022-05-13 21:01:15,68.0531,39.5131,39.51,92,100,6.22,overcast clouds
160,provideniya,RU,2022-05-13 21:01:15,64.3833,-173.3,39.22,52,1,5.73,clear sky
161,tuktoyaktuk,CA,2022-05-13 21:01:16,69.4541,-133.0374,32.43,97,100,14.29,light snow
162,noumea,NC,2022-05-13 21:01:17,-22.2763,166.4572,75.99,99,100,12.8,overcast clouds
163,plettenberg bay,ZA,2022-05-13 21:01:17,-34.0527,23.3716,58.96,79,89,8.23,overcast clouds
164,broome,US,2022-05-13 21:01:17,42.2506,-75.833,82.2,57,20,10.0,few clouds
165,castro,BR,2022-05-13 21:01:18,-24.7911,-50.0119,59.41,82,0,2.19,clear sky
166,charters towers,AU,2022-05-13 21:01:18,-20.1,146.2667,64.92,77,1,9.93,clear sky
167,tchibanga,GA,2022-05-13 21:01:19,-2.85,11.0333,73.35,98,97,1.12,overcast clouds
168,aracaju,BR,2022-05-13 21:00:23,-10.9111,-37.0717,82.35,69,40,8.05,scattered clouds
169,wenatchee,US,2022-05-13 21:01:19,47.4235,-120.3103,61.38,33,100,5.01,overcast clouds
170,mashhad,IR,2022-05-13 21:01:20,36.297,59.6062,57.34,72,0,11.5,clear sky
171,santa rosalia,MX,2022-05-13 21:01:20,27.3167,-112.2833,83.05,19,32,11.97,scattered clouds
172,saint-joseph,RE,2022-05-13 21:01:21,-21.3667,55.6167,68.38,69,0,6.55,clear sky
173,vegachi,CO,2022-05-13 21:01:21,6.7614,-74.7947,73.92,96,92,2.93,overcast clouds
174,griffith,US,2022-05-13 21:01:22,41.5284,-87.4237,92.89,32,0,12.66,clear sky
175,tiarei,PF,2022-05-13 21:01:22,-17.5333,-149.3333,84.0,73,16,17.76,light rain
176,kodiak,US,2022-05-13 21:01:23,57.79,-152.4072,45.27,50,2,21.88,clear sky
177,namibe,AO,2022-05-13 21:01:23,-15.1961,12.1522,72.48,77,1,2.82,clear sky
178,siva,EG,2022-05-13 21:01:24,29.2041,25.5195,78.69,32,94,10.36,overcast clouds
179,datong,CN,2022-05-13 21:01:24,40.0936,113.2914,46.92,28,93,7.34,overcast clouds
180,kushmurun,KZ,2022-05-13 21:01:25,52.4503,64.6311,56.95,64,100,15.5,light rain
181,khatanga,RU,2022-05-13 21:01:25,71.9667,102.5,21.54,89,100,7.29,overcast clouds
182,labuhan,ID,2022-05-13 21:01:26,-6.8844,112.2051,78.75,88,100,7.16,moderate rain
183,geraldton,AU,2022-05-13 21:01:26,-28.7667,114.6,59.41,82,100,6.91,overcast clouds
184,yagodnoye,RU,2022-05-13 21:01:27,62.55,149.6667,32.34,76,100,2.53,overcast clouds
185,husavik,IS,2022-05-13 21:01:27,66.0449,-17.3389,31.93,88,100,4.43,light snow
186,casas grandes,MX,2022-05-13 21:01:28,30.3667,-107.95,86.45,3,4,8.88,clear sky
187,kiunga,PG,2022-05-13 21:01:28,-6.1219,141.2906,72.81,100,76,0.16,broken clouds
188,zambezi,ZM,2022-05-13 21:01:29,-13.5432,23.1047,63.9,58,19,4.45,few clouds
189,bengkulu,ID,2022-05-13 21:01:29,-3.8004,102.2655,77.23,89,43,4.25,scattered clouds
190,meadow lake,US,2022-05-13 21:01:30,34.8014,-106.5436,82.45,6,0,7.2,clear sky
191,hasaki,JP,2022-05-13 21:01:30,35.7333,140.8333,70.29,89,100,30.24,light rain
192,iskilip,TR,2022-05-13 21:01:31,40.7353,34.4739,57.72,47,0,1.16,clear sky
193,santa maria da boa vista,BR,2022-05-13 21:01:31,-8.8078,-39.8256,88.88,32,96,9.57,overcast clouds
194,morgan city,US,2022-05-13 21:01:32,29.6994,-91.2068,84.02,89,89,11.72,overcast clouds
195,mucurapo,TT,2022-05-13 21:01:32,10.6667,-61.5333,87.03,64,94,14.52,overcast clouds
196,katherine,AU,2022-05-13 21:01:33,-14.4667,132.2667,68.32,77,80,4.61,broken clouds
197,alugan,PH,2022-05-13 21:01:33,12.2188,125.4808,79.95,83,100,8.37,overcast clouds
198,ucluelet,CA,2022-05-13 21:01:29,48.9329,-125.5528,48.09,85,100,12.06,overcast clouds
199,lebu,CL,2022-05-13 21:01:34,-37.6167,-73.65,52.23,71,64,19.89,broken clouds
200,patacamaya,BO,2022-05-13 21:01:34,-17.2333,-67.9167,55.58,31,77,8.41,broken clouds
201,airai,TL,2022-05-13 21:01:35,-8.9266,125.4092,59.58,95,79,1.81,broken clouds
202,necochea,AR,2022-05-13 21:01:35,-38.5473,-58.7368,52.74,84,41,5.82,scattered clouds
203,steamboat springs,US,2022-05-13 21:01:36,40.485,-106.8317,60.94,26,0,16.11,clear sky
204,mumford,GH,2022-05-13 21:01:37,5.2618,-0.759,82.67,84,6,11.21,clear sky
205,hithadhoo,MV,2022-05-13 21:01:37,-0.6,73.0833,82.45,72,100,6.17,overcast clouds
206,jiexiu,CN,2022-05-13 21:01:38,37.0244,111.9125,53.2,32,100,3.31,overcast clouds
207,camalu,MX,2022-05-13 21:01:38,30.85,-116.0667,73.36,47,57,11.03,broken clouds
208,gizo,SB,2022-05-13 21:01:39,-8.103,156.8419,82.0,72,19,3.98,few clouds
209,trat,TH,2022-05-13 21:01:39,12.5,102.5,83.91,93,100,1.45,overcast clouds
210,sabratah,LY,2022-05-13 21:01:40,32.7933,12.4885,67.62,54,0,9.26,clear sky
211,miri,MY,2022-05-13 20:57:21,4.4148,114.0089,77.14,100,20,2.3,few clouds
212,puerto escondido,MX,2022-05-13 21:01:40,15.85,-97.0667,89.13,59,51,10.02,broken clouds
